filename,S,PT,Gr,PR,PM,BF,BG,BR,BH,BV,FR,FG,FH,FV,Tick,Bandicoots,Invaders,Foxes,Grass_Health_Index,Total_Bandicoots_Eaten,Trap_Deaths,Old_Age_Deaths,Hunger_Deaths,regime
Run_S10_PT10_Gr92_PR15_PM84_BF6_BG20_BR13_BH10_BV1.1_FR28_FG18_FH1_FV2.6_IF8_IG10_IR11_IH27_IV1.1.csv,10,10,92,15,84,6,20,13,10,1.1,28,18,1,2.6,999.0,0.0,0.0,0.0,3423.0,8307.0,994.0,1340.0,2606.0,0
Run_S10_PT10_Gr92_PR17_PM182_BF5_BG7_BR18_BH14_BV1.4_FR14_FG38_FH29_FV2.9_IF8_IG16_IR14_IH70_IV0.6.csv,10,10,92,17,182,5,7,18,14,1.4,14,38,29,2.9,999.0,175.0,0.0,81.0,2856.19,10998.0,10167.0,1226.0,8615.0,2
Run_S10_PT10_Gr92_PR23_PM104_BF6_BG9_BR17_BH19_BV0.0_FR16_FG31_FH9_FV1.2_IF6_IG13_IR11_IH70_IV2.2.csv,10,10,92,23,104,6,9,17,19,0.0,16,31,9,1.2,999.0,265.0,0.0,414.0,2334.57,13337.0,7911.0,1427.0,10589.0,2
Run_S10_PT10_Gr96_PR21_PM242_BF3_BG6_BR19_BH2_BV0.9_FR28_FG30_FH40_FV2.6_IF8_IG2_IR14_IH4_IV0.7.csv,10,10,96,21,242,3,6,19,2,0.9,28,30,40,2.6,999.0,411.0,0.0,475.0,1539.87,22435.0,9152.0,2237.0,2717.0,2
Run_S10_PT10_Gr98_PR20_PM237_BF3_BG17_BR11_BH3_BV1.9_FR18_FG26_FH51_FV2.3_IF6_IG5_IR9_IH38_IV2.6.csv,10,10,98,20,237,3,17,11,3,1.9,18,26,51,2.3,999.0,0.0,0.0,0.0,3646.0,20185.0,8567.0,628.0,12189.0,0
Run_S10_PT11_Gr100_PR7_PM97_BF5_BG9_BR12_BH8_BV0.3_FR17_FG25_FH88_FV2.9_IF4_IG12_IR10_IH14_IV0.8.csv,10,11,100,7,97,5,9,12,8,0.3,17,25,88,2.9,999.0,869.0,0.0,324.0,575.46,26909.0,19486.0,1520.0,7391.0,2
Run_S10_PT11_Gr15_PR25_PM109_BF4_BG14_BR19_BH4_BV0.2_FR24_FG23_FH6_FV1.5_IF7_IG10_IR18_IH49_IV0.1.csv,10,11,15,25,109,4,14,19,4,0.2,24,23,6,1.5,999.0,291.0,0.0,1.0,344.38,2132.0,474.0,1035.0,4238.0,2
Run_S10_PT11_Gr18_PR6_PM93_BF4_BG12_BR12_BH18_BV1.0_FR29_FG34_FH68_FV2.5_IF5_IG18_IR20_IH61_IV2.6.csv,10,11,18,6,93,4,12,12,18,1.0,29,34,68,2.5,999.0,466.0,0.0,0.0,84.98,1956.0,2388.0,828.0,5421.0,1
Run_S10_PT11_Gr20_PR18_PM201_BF9_BG6_BR13_BH5_BV1.6_FR28_FG35_FH64_FV0.7_IF3_IG11_IR10_IH59_IV2.6.csv,10,11,20,18,201,9,6,13,5,1.6,28,35,64,0.7,999.0,194.0,0.0,0.0,217.15,113.0,770.0,1268.0,1737.0,1
Run_S10_PT11_Gr25_PR15_PM100_BF7_BG15_BR19_BH11_BV1.5_FR13_FG16_FH58_FV1.4_IF8_IG16_IR17_IH17_IV0.7.csv,10,11,25,15,100,7,15,19,11,1.5,13,16,58,1.4,999.0,634.0,0.0,142.0,146.65,8082.0,3830.0,1506.0,5356.0,2
Run_S10_PT11_Gr28_PR15_PM211_BF6_BG6_BR12_BH18_BV0.8_FR27_FG41_FH69_FV1.6_IF5_IG18_IR15_IH94_IV2.0.csv,10,11,28,15,211,6,6,12,18,0.8,27,41,69,1.6,999.0,180.0,0.0,0.0,397.79,356.0,1278.0,702.0,1768.0,1
Run_S10_PT11_Gr31_PR18_PM100_BF10_BG11_BR13_BH8_BV2.0_FR15_FG36_FH9_FV2.3_IF7_IG16_IR11_IH56_IV1.4.csv,10,11,31,18,100,10,11,13,8,2.0,15,36,9,2.3,999.0,950.0,0.0,0.0,65.18,584.0,4097.0,2646.0,11560.0,1
Run_S10_PT11_Gr38_PR18_PM211_BF8_BG12_BR9_BH3_BV1.0_FR20_FG16_FH17_FV2.0_IF8_IG3_IR13_IH62_IV2.7.csv,10,11,38,18,211,8,12,9,3,1.0,20,16,17,2.0,999.0,309.0,0.0,126.0,552.55,16634.0,2711.0,2194.0,16994.0,2
